249.127000, 0.5730
254.039666, 0.5700 
258.952332, 0.5670 
263.864998, 0.5650 
268.777664, 0.5590 
273.690330, 0.5540 
278.602996, 0.5470 
283.515662, 0.5310 
288.428328, 0.5260 
293.340994, 0.5220 
298.253660, 0.5190 
303.166326, 0.5160 
308.078992, 0.5150 
312.991658, 0.5120 
317.904324, 0.5110 
322.816990, 0.5110 
327.729656, 0.5110 
332.642322, 0.5110 
337.554988, 0.5200 
342.467654, 0.5590 
347.380320, 0.5810 
352.292986, 0.6120 
357.205652, 0.6380 
362.118318, 0.6600 
367.030984, 0.6760 
371.943650, 0.6800 
376.856316, 0.6730 
381.768982, 0.6520 
386.681649, 0.6410 
391.594315, 0.7030 
396.506981, 0.7350 
401.419647, 0.7390 
406.332313, 0.7360 
411.244979, 0.7310 
416.157645, 0.7240 
421.070311, 0.6960 
425.982977, 0.6460 
430.895643, 0.6279 
435.808309, 0.7030 
440.720975, 0.7240 
445.633641, 0.7420 
450.546307, 0.7580 
455.458973, 0.7660 
460.371639, 0.7710 
465.284305, 0.7740 
470.196971, 0.7770 
475.109637, 0.7780 
480.022303, 0.7770 
484.934969, 0.7700 
489.847635, 0.7610 
494.760301, 0.7380 
499.672967, 0.6341 
504.585633, 0.3179 
509.498299, 0.2039 
514.410965, 0.4551 
519.323631, 0.6200 
524.236297, 0.6830 
529.148963, 0.7040 
534.061629, 0.7110 
538.974295, 0.7150 
543.886961, 0.7150 
548.799627, 0.7110 
553.712293, 0.7070 
558.624959, 0.7060 
563.537625, 0.7020 
568.450291, 0.6970 
573.362957, 0.6960 
578.275623, 0.6930 
583.188289, 0.6920 
588.100955, 0.6910 
593.013621, 0.6890 
597.926287, 0.6890 
602.838953, 0.6880 
607.751619, 0.6870 
612.664285, 0.6810 
617.576951, 0.6750 
622.489617, 0.6630 
627.402283, 0.6510 
632.314949, 0.6240 
637.227615, 0.5910 
642.140281, 0.3830 
647.052947, 0.0592 
651.965613, 0.2561 
656.878280, 0.5909 
661.790946, 0.6970 
666.703612, 0.7270 
671.616278, 0.7530 
676.528944, 0.7660 
681.441610, 0.7690 
686.354276, 0.7710 
691.266942, 0.7700 
696.179608, 0.7660 
701.092274, 0.7310 
706.004940, 0.7710 
710.917606, 0.7950 
715.830272, 0.8050 
720.742938, 0.8170 
725.655604, 0.8240 
730.568270, 0.8170 
735.480936, 0.8130 
740.393602, 0.8300 
745.306268, 0.8400 
750.218934, 0.8370 
755.131600, 0.8330 
760.044266, 0.8520 
764.956932, 0.8570 
769.869598, 0.8610 
774.782264, 0.8670 
779.694930, 0.8630 
784.607596, 0.8550 
789.520262, 0.8420 
794.432928, 0.8090 
799.345594, 0.7389 
804.258260, 0.5540 
809.170926, 0.5910 
814.083592, 0.5620 
818.996258, 0.3540 
823.908924, 0.0591 
828.821590, 0.0760 
833.734256, 0.2709 
838.646922, 0.5150 
843.559588, 0.6880 
848.472254, 0.7630 
853.384920, 0.8240 
858.297586, 0.8300 
863.210252, 0.8600 
868.122918, 0.8690 
873.035584, 0.8840 
877.948250, 0.8960 
882.860916, 0.9070 
887.773582, 0.9140 
892.686248, 0.9140 
897.598914, 0.9150 
902.511580, 0.9100 
907.424246, 0.9040 
912.336912, 0.9000 
917.249578, 0.8970 
922.162244, 0.8920 
927.074911, 0.8850 
931.987577, 0.8910 
936.900243, 0.8950 
941.812909, 0.8950 
946.725575, 0.8920 
951.638241, 0.8970 
956.550907, 0.9070 
961.463573, 0.9110 
966.376239, 0.9160 
971.288905, 0.9160 
976.201571, 0.9180 
981.114237, 0.9190 
986.026903, 0.9180 
990.939569, 0.9120 
995.852235, 0.9030 
1000.76490, 0.8760
1005.67756, 0.7909
1010.59023, 0.5120
1015.50289, 0.7071
1020.41556, 0.8960
1025.32823, 0.8930
1030.24089, 0.9140
1035.15356, 0.9260
1040.06622, 0.9300
1044.97889, 0.9280
1049.89156, 0.9260
1054.80422, 0.9190
1059.71689, 0.9080
1064.62955, 0.8970
1069.54222, 0.8790
1074.45489, 0.8550
1079.36755, 0.8360
1084.28022, 0.7540
1089.19288, 0.3344
1094.10555, 0.0770
1099.01822, 0.1270
1103.93088, 0.6770
1108.84355, 0.7080
1113.75621, 0.7240
1118.66888, 0.7830
1123.58155, 0.7740
1128.49421, 0.7570
1133.40688, 0.7340
1138.31954, 0.6970
1143.23221, 0.6480
1148.14488, 0.5900
1153.05754, 0.4990
1157.97021, 0.3971
1162.88287, 0.1849
1167.79554, 0.0880
1172.70821, 0.0560
1177.62087, 0.0800
1182.53354, 0.1280
1187.44620, 0.2100
1192.35887, 0.2420
1197.27154, 0.2370
1202.18420, 0.2180
1207.09687, 0.2100
1212.00954, 0.2160
1216.92220, 0.2210
1221.83487, 0.2240
1226.74753, 0.2300
1231.66020, 0.2490
1236.57287, 0.2260
1241.48553, 0.1980
1246.39820, 0.1970
1251.31086, 0.1790
1256.22353, 0.0570
1261.13620, 0.1030
1266.04886, 0.2889
1270.96153, 0.4920
1275.87419, 0.6510
1280.78686, 0.6760
1285.69953, 0.6790
1290.61219, 0.7460
1295.52486, 0.7890
1300.43752, 0.7540
1305.35019, 0.6850
1310.26286, 0.6530
1315.17552, 0.5810
1320.08819, 0.3730
1325.00085, 0.4690
1329.91352, 0.5110
1334.82619, 0.5190
1339.73885, 0.5150
1344.65152, 0.5110
1349.56418, 0.5190
1354.47685, 0.5350
1359.38952, 0.5670
1364.30218, 0.6370
1369.21485, 0.6910
1374.12751, 0.7430
1379.04018, 0.7860
1383.95285, 0.7980
1388.86551, 0.8050
